sno,heading,sub-heading,link
61,"Road accidents claimed 6,440 lives in HP since 2009","Responding to the issue of rising Road accidents in the state raised by opposition in the assembly, the government on Wednesday stated that about 6,440 people have lost their lives in accidents since 2009 till October 31, 2014, while 31,457 people were injured during this period.",https://timesofindia.indiatimes.com/city/chandigarh/road-accidents-claimed-6440-lives-in-hp-since-2009/articleshow/45466466.cms
62,Three youths killed in Road accident,Three persons were killed and two others injured in a road mishap near Krishnagiri on late Wednesday night.,https://timesofindia.indiatimes.com/city/coimbatore/three-youths-killed-in-road-accident/articleshow/20340304.cms
63,Man killed after two-wheeler hits carcass of buffalo in Chennai,A 38-year-old man died and another man suffered injuries when a two-wheeler they travelling on hit the carcass of a buffalo at Thirumullaivoyal in the wee hours of Wednesday.,https://timesofindia.indiatimes.com/city/chennai/man-killed-after-two-wheeler-hits-carcass-of-buffalo-in-chennai/articleshow/45456219.cms
64,"Woman, daughter die in Road accident",A woman and her daughter died while her husband suffered serious injuries when a speeding truck hit their bicycle near Baraudha village in Katra in Mirzapur district on Monday.,https://timesofindia.indiatimes.com/city/varanasi/woman-daughter-die-in-road-accident/articleshow/20299650.cms
65,Two die in Road accident,"Two persons including a driver were killed and five others injured when a cement-loaded truck collided with a truck coming form opposite direction near Gadh village, some 10 km from here, on Friday.",https://timesofindia.indiatimes.com/city/rajkot/two-die-in-road-accident/articleshow/16097958.cms
66,"Student killed in Road accident, three injured",A student was crushed to death while three others were injured after a speeding concrete mixing truck lost control and hit a shared auto near Sector P-3 in Greater Noida on Wednesday.,https://timesofindia.indiatimes.com/city/noida/student-killed-in-road-accident-three-injured/articleshow/28865833.cms
67,30-year-old killed in Road accident,A 30-year-old man was killed after being hit by a speeding vehicle in Sachendi police circle in the wee hours of Tuesday on Bhaunti Road.He was identified as Dharmendra of Chandpur Ramdevcahli village in Fatehpur.,https://timesofindia.indiatimes.com/city/kanpur/30-year-old-killed-in-road-accident/articleshow/28811228.cms
68,MP cop dies in Road accident,"As many as four persons, including a constable of Madhya Pradesh police, were killed while several other suffered serious injuries in four separate Road accidents reported from different places in Mirzapur and Jaunpur districts on Wednesday.",https://timesofindia.indiatimes.com/city/varanasi/mp-cop-dies-in-road-accident/articleshow/20220742.cms
69,Two die in Mysore Road accident,Two of a family including a 11-year-old kid died on spot and eight others were injured after the goods auto on which they were travelling toppled on Chikkadevamma hillock in Heggadadevana Kote on Tuesday.,https://timesofindia.indiatimes.com/city/mysuru/two-die-in-mysore-road-accident/articleshow/20174185.cms
70,Three killed in different accidents,Three persons were killed in three separate Road accidents at different places in the district.,https://timesofindia.indiatimes.com/city/varanasi/three-killed-in-different-accidents/articleshow/45357895.cms
71,Five killed in separate Road accidents,Five persons were killed and over a dozen injured in separate Road accidents in Akola district in the last 24 hours.,https://timesofindia.indiatimes.com/city/nagpur/five-killed-in-separate-road-accidents/articleshow/20162329.cms
72,Woman and brother die in Road accident,A 40-year-old woman and her brother were killed in a Road accident at Kanagamma Chathiram near Tiruttani on Sunday.,https://timesofindia.indiatimes.com/city/chennai/woman-and-brother-die-in-road-accident/articleshow/20160541.cms
73,3 killed in Road accident,Three persons including two women died in a Road accident near Sindhamanipudur on L&T bypass road on the outskirts of the city on Thursday afternoon.They were traveling in a car from Madukkarai to SITRA.,https://timesofindia.indiatimes.com/city/coimbatore/3-killed-in-road-accident/articleshow/15625095.cms
74,Three women returning from church killed in Road accident near Tuticorin,"Three women, who were returning from church, were killed when a car they were travelling in hit a tree in the Tuticorin district of Tamil Nadu on Sunday.",https://timesofindia.indiatimes.com/city/madurai/three-women-returning-from-church-killed-in-road-accident-near-tuticorin/articleshow/45325950.cms
75,Elephants express anger after one is killed in Road accident,"In a 'mammoth' display of strength and anger, a herd of elephants went on the rampage, blocking traffic for hours after one of their members was killed by an over speeding car on the Krishnagiri-Hosur national highway late on Tuesday night.",https://timesofindia.indiatimes.com/city/hyderabad/elephants-express-anger-after-one-is-killed-in-road-accident/articleshow/46139083.cms
76,Twin commissionerates record more Road accident fatalities than Delhi,Accident data released by the National Crime Records Bureau (NCRB) states Delhi recorded the highest number of Road accident deaths in the country in 2014.,https://timesofindia.indiatimes.com/city/hyderabad/twin-commissionerates-record-more-road-accident-fatalities-than-delhi/articleshow/48166005.cms
77,3 injured in Road accident,Three persons were injured in a Road accident when a cop hit a man’s vehicle on Monday.,https://timesofindia.indiatimes.com/city/hyderabad/3-injured-in-road-accident/articleshow/15576806.cms
78,"2 pilgrims killed, 1 injured in Road accident",Two devotees were killed and one was severely injured when a bricks-laden truck hit them near Pudukkottai in the early hours on Friday.,https://timesofindia.indiatimes.com/city/trichy/2-pilgrims-killed-1-injured-in-road-accident/articleshow/39439829.cms
79,72% of Road accidents in Maharashtra involve youths,"Nearly 72% of those involved in Road accidents in the state are in the age group of 20-40 years and 85% of the injured are maimed for life, highway police said.",https://timesofindia.indiatimes.com/city/mumbai/72-of-road-accidents-in-maharashtra-involve-youths/articleshow/28356621.cms
80,Three killed in Road accident,"A man, his wife and child were killed in a Road accident as the two-wheeler in which they were travelling was hit by a speeding government bus on Wednesday morning in Tuticorin district.",https://timesofindia.indiatimes.com/city/madurai/three-killed-in-road-accident/articleshow/15510307.cms
81,Three killed in Road accidents,"Barely two days after two students were killed in Road accident, three more persons, including two brothers, were killed in Road accidents on Monday morning in two separate incidents in different parts of the city.",https://timesofindia.indiatimes.com/city/indore/three-killed-in-road-accidents/articleshow/15485868.cms
82,Seven killed in Road accidents,Seven persons were killed in various Road accidents in the state on Monday. A speeding lorry crushed three people to death on Addanki-Narketpalli highway near Govada of Addanki mandal in Prakasam district. The victims were waiting for the bus on the highway when the lorry mowed them down before overturning.,https://timesofindia.indiatimes.com/city/hyderabad/seven-killed-in-road-accidents/articleshow/15484928.cms
83,Two youths die in Road accident,"Two employees of a power plant at village Banawala in Mansa died on Thursday when their motorbike was hit by a bus. With severe head injuries, both died on the spot. Police has registered case against the bus driver.",https://timesofindia.indiatimes.com/city/chandigarh/two-youths-die-in-road-accident/articleshow/19973216.cms
84,Two dead in Road accident near Vishalla,"According to Vejalpur police, on Monday, Arif Pathan, 37, and his wife Badrunnisa, 34, residents of Alifnagar, Vatva, were passing on a bike from Sonal Cinema Road at 11.30 am on Monday when the accident took place.",https://timesofindia.indiatimes.com/city/ahmedabad/two-dead-in-road-accident-near-vishalla/articleshow/28194131.cms
85,"SI, constable killed in Road accident","The deceased were identified as special sub-inspector M Shanmugasundaram (51), attached with Thali police station and constable P Thannashi (35), attached with Kumaralingam police station.",https://timesofindia.indiatimes.com/city/coimbatore/si-constable-killed-in-road-accident/articleshow/19942965.cms
86,BKT villagers' protest over Road accident,Angry group of villagers protested against their rivals on Sunday after staging body of a man in a village in Bakshi Ka Talab.The angry mob torched three motorcycles and damaged the house belonging to their rivals.,https://timesofindia.indiatimes.com/city/lucknow/bkt-villagers-protest-over-road-accident/articleshow/28118455.cms
87,Two killed in Road accident on Panki highway,Two youths died in a road mishap on Panki Highway when they were returning from their friends' place on Saturday evening.,https://timesofindia.indiatimes.com/city/kanpur/two-killed-in-road-accident-on-panki-highway/articleshow/28085892.cms
88,Drive Patna: ‘Helmets can reduce Road accident fatalities by half’,"In order to prevent the deaths of two-wheeler riders driving without helmets in Road accidents, the Patna traffic police quite often intensify their drive to penalize such riders.",https://timesofindia.indiatimes.com/city/patna/drive-patna-helmets-can-reduce-road-accident-fatalities-by-half/articleshow/48045468.cms
89,3 of family die in Road accident at Kurukshetra,Three members of a family from Delhi died while another was injured critically when the car in which they were travelling collided with divider on NH-1 near Pipli in Kurukshetra district.,https://timesofindia.indiatimes.com/city/chandigarh/3-of-family-die-in-road-accident-at-kurukshetra/articleshow/27928833.cms
90,Two killed as bus hits two-wheeler near Madurai,Two students from K K Nagar in Puliankulam were killed when a two-wheeler they were travelling collided head on with a state transport corporation bus near Silaiman on Thursday morning.,https://timesofindia.indiatimes.com/city/madurai/two-killed-as-bus-hits-two-wheeler-near-madurai/articleshow/45133399.cms
91,Five killed in Road accident in Patan,Five people were killed in a Road accident near Harij in Patan district on Tuesday.,https://timesofindia.indiatimes.com/city/rajkot/five-killed-in-road-accident-in-patan/articleshow/19816867.cms
