sno,data,link,date
76,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/2-year-old-girl-among-2-killed-in-separate-road-accidents/articleshow/98076536.cms,"Feb 20, 2023"
78,[],https://timesofindia.indiatimes.com/city/kolhapur/22-year-old-woman-dies-in-road-accident/articleshow/96386567.cms,"Dec 21, 2022"
80,[],https://timesofindia.indiatimes.com/city/pune/murder-ruled-out-in-plumber-death-case/articleshow/96584556.cms,"Dec 29, 2022"
81,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/fewer-accidents-casualties-same-as-last-year-in-nashik/articleshow/96469941.cms,"Dec 24, 2022"
82,"[['83.30363294543089', '22.0844839736566']]",https://timesofindia.indiatimes.com/city/navi-mumbai/bus-driver-killed-10-passengers-injured-in-road-accident-in-raigad/articleshow/96333952.cms,"Dec 19, 2022"
83,[],https://timesofindia.indiatimes.com/city/nashik/rto-to-impart-traffic-lessons-to-school-teachers/articleshow/96331268.cms,"Dec 19, 2022"
84,[],https://timesofindia.indiatimes.com/city/nashik/nashik-pedestrian-killed-in-road-accident/articleshow/95070294.cms,"Oct 25, 2022"
85,"[['77.88168888771841', '20.434242511965707']]",https://timesofindia.indiatimes.com/city/nagpur/four-dead-six-injured-in-yavatmal-road-accident/articleshow/95986115.cms,"Dec 5, 2022"
86,[],https://timesofindia.indiatimes.com/city/kolhapur/cases-against-27-parents-for-giving-2-wheelers-to-underage-children/articleshow/96213858.cms,"Dec 14, 2022"
87,[],https://timesofindia.indiatimes.com/city/nagpur/nagpur-road-accidents-toll-5-times-more-than-murders/articleshow/96800441.cms," Jan 7, 2023"
88,"[['76.24593732618625', '27.919400146762136']]",https://timesofindia.indiatimes.com/city/pune/day-before-girls-wedding-father-killed-in-road-accident/articleshow/96124061.cms,"Dec 10, 2022"
